destination_id,prefecture_code,prefecture_name,prefecture_name_en,province_code,province,latitude,longitude,eor_injection_rate_avg_mtpa,eor_storage_potential_mt,eor_annual_capacity_mtco2_per_year,positive_injection_pixel_count,positive_storage_pixel_count,published_province_eor_injection_rate_avg_mtpa,published_province_eor_storage_potential_mt,storage_horizon_years,source_url,evidence_grade,notes
EOR_370500,370500,东营市,Dongying,370000,Shandong,37.434564,118.66471,27.591951,487.982374,24.399119,104,105,39.13,591.76,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_130600,130600,保定市,BaoDing,130000,Hebei,38.867657,115.482331,3.659649,12.376912,0.618846,12,12,27.01,208.36,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_220100,220100,长春市,ChangChun,220000,Jilin,43.886841,125.3245,0.442019,11.456965,0.442019,6,10,11.35,304.09,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_210100,210100,沈阳市,ShenYang,210000,Liaoning,41.796767,123.429096,0.424153,14.885794,0.424153,4,4,32.66,318.79,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_150900,150900,乌兰察布市,WuLanChaBu,150000,Inner Mongolia,41.034126,113.114543,0.406014,6.883386,0.344169,4,5,3.09,178.49,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_659004,659004,五家渠市,WuJiaQu,650000,Xinjiang,44.167401,87.526884,0.305715,83.822887,0.305715,16,16,5.92,685.73,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_211000,211000,辽阳市,LiaoYang,210000,Liaoning,41.269402,123.18152,1.267732,5.100307,0.255015,2,2,32.66,318.79,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_131000,131000,廊坊市,LangFang,130000,Hebei,39.523927,116.704441,3.064329,4.925411,0.246271,9,11,27.01,208.36,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_341100,341100,滁州市,ChuZhou,340000,Anhui,32.303627,118.316264,9.377835,4.858559,0.242928,2,2,14.3,5.04,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_640300,640300,吴忠市,WuZhong,640000,Ningxia,37.986165,106.199409,0.947508,4.785634,0.239282,11,14,1.0,5.75,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_421000,421000,荆州市,JingZhou,420000,Hubei,30.326857,112.23813,3.916079,4.665859,0.233293,12,12,11.01,32.49,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_150800,150800,巴彦淖尔市,BaYanNaoEr,150000,Inner Mongolia,40.757402,107.416959,0.653367,4.524831,0.226242,7,7,3.09,178.49,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_131100,131100,衡水市,HengShui,130000,Hebei,37.735097,115.665993,0.778589,4.50803,0.225402,12,12,27.01,208.36,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_320800,320800,淮安市,HuaiAn,320000,Jiangsu,33.597506,119.021265,2.85181,4.474828,0.223741,13,13,64.89,63.6,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_230100,230100,哈尔滨市,HaErBin,230000,Heilongjiang,45.756967,126.642464,0.219655,46.57882,0.219655,4,4,7.92,1415.07,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_150700,150700,呼伦贝尔市,HuLunBeiEr,150000,Inner Mongolia,49.215333,119.758168,0.187384,100.988289,0.187384,9,9,3.09,178.49,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_650500,650500,哈密市,HaMi,650000,Xinjiang,42.833248,93.51316,0.205019,3.709969,0.185498,2,2,5.92,685.73,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_210700,210700,锦州市,JinZhou,210000,Liaoning,41.119269,121.135742,0.596052,3.061285,0.153064,1,2,32.66,318.79,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_659010,659010,胡杨河市,HuYangHe,650000,Xinjiang,44.692889,84.827596,0.146039,5.847861,0.146039,4,4,5.92,685.73,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_659006,659006,铁门关市,TieMenGuan,650000,Xinjiang,41.827251,85.501218,0.124472,1.708897,0.085445,2,2,5.92,685.73,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_210300,210300,鞍山市,AnShan,210000,Liaoning,41.110626,122.995632,0.644167,1.629685,0.081484,1,1,32.66,318.79,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_610800,610800,榆林市,YuLin,610000,Shaanxi,38.290162,109.741193,0.114668,1.413975,0.070699,2,2,1.42,500.37,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_150500,150500,通辽市,TongLiao,150000,Inner Mongolia,43.617429,122.263119,0.058174,7.742935,0.058174,5,5,3.09,178.49,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_640400,640400,固原市,GuYuan,640000,Ningxia,36.004561,106.285241,0.052492,0.964366,0.048218,1,1,1.0,5.75,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_230200,230200,齐齐哈尔市,QiQiHaEr,230000,Heilongjiang,47.342081,123.95792,0.40686,0.748506,0.037425,2,2,7.92,1415.07,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_429006,429006,天门市,TianMen,420000,Hubei,30.653061,113.165862,0.031961,2.263319,0.031961,2,2,11.01,32.49,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_130100,130100,石家庄市,ShiJiaZhuang,130000,Hebei,38.045474,114.502461,0.138677,0.56918,0.028459,4,4,27.01,208.36,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_511300,511300,南充市,NanChong,510000,Sichuan,30.795281,106.082974,0.026797,7.200373,0.026797,6,6,0.29,37.75,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_320600,320600,南通市,NanTong,320000,Jiangsu,32.016212,120.864608,0.34637,0.479116,0.023956,1,1,64.89,63.6,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_510500,510500,泸州市,LuZhou,510000,Sichuan,28.889138,105.443348,0.107935,0.479021,0.023951,3,3,0.29,37.75,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_411600,411600,周口市,ZhouKou,410000,Henan,33.620357,114.649653,0.170529,0.355306,0.017765,1,1,22.64,182.33,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_370300,370300,淄博市,ZiBo,370000,Shandong,36.814939,118.047648,0.124733,0.293254,0.014663,1,2,39.13,591.76,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_659001,659001,石河子市,ShiHeZi,650000,Xinjiang,44.305886,86.041075,0.0124,6.794555,0.0124,2,2,5.92,685.73,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_500000,500000,重庆市,ChongQing,500000,Chongqing,29.533155,106.504962,0.01,11.36,0.01,1,1,0.01,11.36,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_341600,341600,亳州市,BoZhou,340000,Anhui,33.869338,115.782939,4.922165,0.181441,0.009072,1,1,14.3,5.04,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_220300,220300,四平市,SiPing,220000,Jilin,43.170344,124.370785,0.00843,2.529139,0.00843,1,1,11.35,304.09,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_211200,211200,铁岭市,TieLing,210000,Liaoning,42.290585,123.844279,0.008116,0.373324,0.008116,2,2,32.66,318.79,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_652300,652300,昌吉回族自治州,ChangJi,650000,Xinjiang,44.014577,87.304012,0.007631,0.451132,0.007631,1,1,5.92,685.73,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_510900,510900,遂宁市,SuiNing,510000,Sichuan,30.513311,105.571331,0.00594,14.846332,0.00594,5,5,0.29,37.75,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_320900,320900,盐城市,YanCheng,320000,Jiangsu,33.377631,120.139998,2.779233,0.107805,0.00539,2,2,64.89,63.6,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_511700,511700,达州市,DaZhou,510000,Sichuan,31.209484,107.502262,0.002669,6.302842,0.002669,2,2,0.29,37.75,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_429004,429004,仙桃市,XianTao,420000,Hubei,30.364953,113.453974,0.001911,0.627154,0.001911,3,3,11.01,32.49,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_150300,150300,乌海市,WuHai,150000,Inner Mongolia,39.673734,106.825563,0.00181,0.408189,0.00181,2,2,3.09,178.49,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_511600,511600,广安市,GuangAn,510000,Sichuan,30.456398,106.633369,0.001268,6.641751,0.001268,4,4,0.29,37.75,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_220400,220400,辽源市,LiaoYuan,220000,Jilin,42.902692,125.145349,0.000947,21.868396,0.000947,1,1,11.35,304.09,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_511900,511900,巴中市,BaZhong,510000,Sichuan,31.858809,106.753669,0.000713,1.372981,0.000713,2,2,0.29,37.75,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_510700,510700,绵阳市,MianYang,510000,Sichuan,31.46402,104.741722,0.14375,0.013895,0.000695,1,1,0.29,37.75,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_511500,511500,宜宾市,YiBin,510000,Sichuan,28.760189,104.630825,0.000571,0.891415,0.000571,1,1,0.29,37.75,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_610200,610200,铜川市,TongChuan,610000,Shaanxi,34.916582,108.979608,0.000424,5.280729,0.000424,1,1,1.42,500.37,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_620900,620900,酒泉市,JiuQuan,620000,Gansu,39.744023,98.510795,0.000869,0.007935,0.000397,1,1,1.64,353.38,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
EOR_510800,510800,广元市,GuangYuan,510000,Sichuan,32.433668,105.829757,0.000357,0.00139,6.9e-05,1,1,0.29,37.75,20,https://doi.org/10.6084/m9.figshare.27646707,B/C,EOR-positive raster cells assigned to nearest prefecture center and scaled to published provincial EOR injection/storage totals; screening layer only.
